ID	Age	Sex	Valence	ValenceNum	Framing	FramingNum	emot_option_sure	emot_option_risk	risky_choice	valence_pre	excitation_pre	fear_pre	amusement_pre	sadness_pre	disgust_pre	anger_pre	joy_pre	valence_post	excitation_post	fear_post	amusement_post	sadness_post	disgust_post	anger_post	joy_post
46	32	male	Neutral	0	Gain	2	4	3	0	3	1	1	3	1	1	1	4	3	1	1	3	1	1	1	3
1	26	female	Neutral	0	Loss	1	3	3	1	3	4	4	5	5	5	5	5	3	3	5	5	5	5	5	5
10	22	female	Neutral	0	Gain	2	4	2	0	4	2	2	5	1	2	2	4	4	2	1	4	1	2	1	4
11	24	male	Joy	1	Gain	2	4	2	0	4	2	1	5	1	1	1	5	5	3	1	5	1	1	1	6
2	28	female	Joy	1	Loss	1	3	3	0	3	1	3	5	5	2	2	5	4	3	2	6	3	2	1	6
3	36	male	Sad	2	Loss	1	5	5	1	5	5	5	9	5	5	5	5	5	5	5	9	5	5	5	5
4	27	female	Neutral	0	Gain	2	4	2	0	3	1	1	2	1	1	1	3	3	1	1	2	1	1	1	2
47	23	female	Joy	1	Gain	2	4	2	0	3	1	1	4	1	1	1	4	4	2	1	5	2	1	1	5
48	22	male	Sad	2	Gain	2	3	2	0	4	1	1	2	1	1	1	4	2	3	2	2	3	1	2	3
49	27	female	Neutral	0	Loss	1	2	2	1	5	3	2	4	1	1	1	5	5	2	1	4	1	1	1	5
5	26	male	Joy	1	Gain	2	4	2	0	2	4	6	4	5	4	4	3	3	2	4	6	4	2	5	6
50	25	female	Joy	1	Loss	1	2	2	0	4	4	1	6	1	1	1	6	5	5	1	5	2	1	1	7
6	31	male	Sad	2	Gain	2	4	3	0	5	2	3	7	1	2	2	7	4	3	3	7	3	2	2	7
7	23	male	Neutral	0	Loss	1	2	2	1	4	3	1	5	1	1	1	6	4	3	1	4	1	1	1	6
8	26	female	Joy	1	Loss	1	2	2	0	3	2	2	3	1	1	1	3	4	3	1	4	2	1	1	4
9	22	female	Sad	2	Loss	1	2	3	1	4	1	1	3	1	1	1	5	2	4	1	2	3	2	2	3
1	24	male	Neutral	0	Loss	1	2	1	1	3	2	3	6	3	2	3	4	4	3	3	4	5	3	3	4
10	27	male	Neutral	0	Gain	2	4	3	0	4	2	1	6	1	1	1	6	4	1	1	5	1	1	1	5
100	36	female	Neutral	0	Gain	2	4	3	0	3	1	1	2	1	1	1	3	3	1	1	2	1	1	1	3
11	38	female	Joy	1	Gain	2	3	2	0	5	1	1	4	1	1	1	7	4	4	2	6	2	1	1	8
12	26	male	Sad	2	Gain	2	3	3	1	4	4	1	5	1	1	1	5	2	3	2	2	3	3	3	2
13	27	male	Neutral	0	Loss	1	3	3	0	5	3	1	7	1	1	1	9	5	3	1	6	1	1	1	8
14	25	female	Joy	1	Loss	1	3	4	1	4	1	1	8	1	1	1	7	5	4	1	5	1	1	1	9
15	23	female	Sad	2	Loss	1	2	2	1	4	3	1	4	1	1	1	6	1	5	6	2	8	6	5	2
16	25	male	Neutral	0	Gain	2	4	2	0	4	3	2	5	1	1	1	5	4	3	1	4	1	1	1	4
17	32	female	Joy	1	Gain	2	4	2	0	4	2	2	6	1	1	1	7	5	3	1	6	1	1	1	7
18	44	female	Sad	2	Gain	2	3	2	0	4	4	1	7	1	1	1	7	2	3	5	2	6	4	3	2
19	28	male	Neutral	0	Loss	1	3	3	0	3	1	1	3	1	1	1	4	3	1	1	4	1	1	1	4
2	26	female	Joy	1	Loss	1	2	2	0	3	2	2	3	3	2	2	3	3	3	3	2	3	2	1	3
20	27	male	Joy	1	Loss	1	3	2	1	4	3	1	3	1	1	1	4	4	4	1	4	2	1	1	5
21	24	male	Sad	2	Loss	1	3	3	1	5	5	1	8	1	1	1	9	2	4	2	1	3	2	2	3
22	42	female	Neutral	0	Gain	2	4	2	0	4	1	1	4	1	1	1	5	4	1	1	3	1	1	1	5
23	25	male	Joy	1	Gain	2	3	2	0	2	4	7	5	7	5	5	3	3	3	5	6	5	4	4	5
24	32	female	Sad	2	Gain	2	4	3	1	5	5	1	5	1	1	1	9	2	3	2	1	4	2	2	3
25	19	female	Neutral	0	Loss	1	2	2	1	4	2	2	5	1	1	1	9	4	2	1	4	1	1	1	9
26	18	female	Joy	1	Loss	1	4	3	0	4	3	2	6	1	1	1	7	4	4	1	6	2	1	1	7
27	44	male	Sad	2	Loss	1	2	3	1	3	4	2	4	1	1	2	4	2	4	2	1	4	1	3	2
28	27	female	Neutral	0	Gain	2	4	3	0	4	3	1	2	1	1	1	5	4	3	1	3	1	1	1	5
29	35	female	Joy	1	Gain	2	4	4	0	5	5	1	5	1	1	1	9	5	4	1	5	2	1	1	9
3	23	male	Sad	2	Loss	1	1	1	0	3	3	2	2	3	1	1	2	1	5	8	1	9	9	8	1
30	22	male	Sad	2	Gain	2	4	2	0	3	1	1	3	1	1	1	5	2	3	3	2	4	1	2	3
31	29	female	Neutral	0	Loss	1	2	2	1	5	3	2	9	1	1	1	9	4	2	3	9	1	1	1	8
32	29	female	Joy	1	Loss	1	3	4	1	4	2	2	7	2	1	2	8	5	5	1	9	1	1	1	9
33	29	male	Sad	2	Loss	1	1	3	0	2	2	3	7	3	6	2	7	1	5	8	3	9	9	6	3
34	27	female	Neutral	0	Gain	2	5	3	0	2	2	4	7	3	3	3	8	3	3	3	5	2	5	4	7
35	30	male	Joy	1	Gain	2	5	3	1	4	1	3	6	3	1	1	9	5	2	1	8	1	1	1	9
36	18	male	Sad	2	Gain	2	3	3	0	4	1	1	3	1	1	1	5	3	3	3	2	4	2	3	2
37	22	female	Neutral	0	Loss	1	2	2	1	4	3	1	5	1	1	1	5	4	2	1	5	1	1	1	5
38	27	female	Joy	1	Loss	1	2	3	1	5	5	1	8	1	1	1	9	4	5	1	9	1	1	1	9
39	30	female	Sad	2	Loss	1	1	3	1	4	3	1	5	1	1	1	6	1	5	5	1	8	4	4	1
